Specificity,Sensitivity,Threshold,Model,Outcome,FPR,Model_Type
0,1,-Inf,Fundus,Glaucoma+Suspect vs Healthy,1,Unimodal
8.097165991902834e-4,1,0.11405751109123224,Fundus,Glaucoma+Suspect vs Healthy,0.9991902834008097,Unimodal
0.0016194331983805667,1,0.12408109381794925,Fundus,Glaucoma+Suspect vs Healthy,0.9983805668016195,Unimodal
0.0024291497975708503,1,0.12873094528913495,Fundus,Glaucoma+Suspect vs Healthy,0.9975708502024292,Unimodal
0.004048582995951417,1,0.1325279027223587,Fundus,Glaucoma+Suspect vs Healthy,0.9959514170040485,Unimodal
0.004858299595141701,1,0.13670843839645386,Fundus,Glaucoma+Suspect vs Healthy,0.9951417004048583,Unimodal
0.006477732793522267,1,0.13862182945013046,Fundus,Glaucoma+Suspect vs Healthy,0.9935222672064777,Unimodal
0.0072874493927125505,1,0.1387675330042839,Fundus,Glaucoma+Suspect vs Healthy,0.9927125506072875,Unimodal
0.008097165991902834,1,0.1392650231719017,Fundus,Glaucoma+Suspect vs Healthy,0.9919028340080972,Unimodal
0.008906882591093117,1,0.13990020006895065,Fundus,Glaucoma+Suspect vs Healthy,0.9910931174089069,Unimodal
0.009716599190283401,1,0.1402638927102089,Fundus,Glaucoma+Suspect vs Healthy,0.9902834008097166,Unimodal
0.010526315789473684,1,0.1404600366950035,Fundus,Glaucoma+Suspect vs Healthy,0.9894736842105263,Unimodal
0.011336032388663968,1,0.14132087677717203,Fundus,Glaucoma+Suspect vs Healthy,0.988663967611336,Unimodal
0.012145748987854251,1,0.14222479611635205,Fundus,Glaucoma+Suspect vs Healthy,0.9878542510121457,Unimodal
0.012955465587044534,1,0.1425870731472969,Fundus,Glaucoma+Suspect vs Healthy,0.9870445344129555,Unimodal
0.013765182186234818,1,0.14284758269786835,Fundus,Glaucoma+Suspect vs Healthy,0.9862348178137652,Unimodal
0.015384615384615385,1,0.1453023925423622,Fundus,Glaucoma+Suspect vs Healthy,0.9846153846153847,Unimodal
0.016194331983805668,1,0.1481292843818664,Fundus,Glaucoma+Suspect vs Healthy,0.9838056680161943,Unimodal
0.01700404858299595,1,0.1486345380544662,Fundus,Glaucoma+Suspect vs Healthy,0.982995951417004,Unimodal
0.017813765182186234,1,0.1490920558571815,Fundus,Glaucoma+Suspect vs Healthy,0.9821862348178138,Unimodal
0.019433198380566803,1,0.1496941745281219,Fundus,Glaucoma+Suspect vs Healthy,0.9805668016194332,Unimodal
0.021052631578947368,1,0.15016566216945643,Fundus,Glaucoma+Suspect vs Healthy,0.9789473684210527,Unimodal
0.02186234817813765,1,0.15166172385215754,Fundus,Glaucoma+Suspect vs Healthy,0.9781376518218623,Unimodal
0.022672064777327937,1,0.1529358178377151,Fundus,Glaucoma+Suspect vs Healthy,0.977327935222672,Unimodal
0.02348178137651822,1,0.15308149158954615,Fundus,Glaucoma+Suspect vs Healthy,0.9765182186234818,Unimodal
0.024291497975708502,1,0.15338689088821406,Fundus,Glaucoma+Suspect vs Healthy,0.9757085020242915,Unimodal
0.025101214574898785,1,0.1537837758660316,Fundus,Glaucoma+Suspect vs Healthy,0.9748987854251012,Unimodal
0.025910931174089068,1,0.15436159819364545,Fundus,Glaucoma+Suspect vs Healthy,0.974089068825911,Unimodal
0.026720647773279354,1,0.15498516708612442,Fundus,Glaucoma+Suspect vs Healthy,0.9732793522267207,Unimodal
0.027530364372469637,1,0.15558082610368726,Fundus,Glaucoma+Suspect vs Healthy,0.9724696356275304,Unimodal
0.02834008097165992,1,0.15638279169797892,Fundus,Glaucoma+Suspect vs Healthy,0.97165991902834,Unimodal
0.02834008097165992,0.997289972899729,0.15751504898071284,Fundus,Glaucoma+Suspect vs Healthy,0.97165991902834,Unimodal
0.029149797570850202,0.997289972899729,0.1606113165616989,Fundus,Glaucoma+Suspect vs Healthy,0.9708502024291498,Unimodal
0.029959514170040485,0.997289972899729,0.16307766735553741,Fundus,Glaucoma+Suspect vs Healthy,0.9700404858299595,Unimodal
0.03076923076923077,0.997289972899729,0.16324198991060257,Fundus,Glaucoma+Suspect vs Healthy,0.9692307692307692,Unimodal
0.031578947368421054,0.997289972899729,0.16374646872282025,Fundus,Glaucoma+Suspect vs Healthy,0.968421052631579,Unimodal
0.032388663967611336,0.997289972899729,0.1643656864762306,Fundus,Glaucoma+Suspect vs Healthy,0.9676113360323887,Unimodal
0.03319838056680162,0.997289972899729,0.16520433872938156,Fundus,Glaucoma+Suspect vs Healthy,0.9668016194331984,Unimodal
0.0340080971659919,0.997289972899729,0.16595464199781415,Fundus,Glaucoma+Suspect vs Healthy,0.965991902834008,Unimodal
0.034817813765182185,0.997289972899729,0.16698894649744028,Fundus,Glaucoma+Suspect vs Healthy,0.9651821862348178,Unimodal
0.03643724696356275,0.997289972899729,0.16812673211097715,Fundus,Glaucoma+Suspect vs Healthy,0.9635627530364372,Unimodal
0.03724696356275304,0.997289972899729,0.16841466724872584,Fundus,Glaucoma+Suspect vs Healthy,0.962753036437247,Unimodal
0.03805668016194332,0.997289972899729,0.16851361095905298,Fundus,Glaucoma+Suspect vs Healthy,0.9619433198380567,Unimodal
0.038866396761133605,0.997289972899729,0.16863030940294266,Fundus,Glaucoma+Suspect vs Healthy,0.9611336032388664,Unimodal
0.03967611336032389,0.997289972899729,0.16871867328882215,Fundus,Glaucoma+Suspect vs Healthy,0.9603238866396762,Unimodal
0.04048582995951417,0.997289972899729,0.16881357133388514,Fundus,Glaucoma+Suspect vs Healthy,0.9595141700404858,Unimodal
0.04129554655870445,0.997289972899729,0.16902987658977506,Fundus,Glaucoma+Suspect vs Healthy,0.9587044534412955,Unimodal
0.042105263157894736,0.997289972899729,0.16973019391298289,Fundus,Glaucoma+Suspect vs Healthy,0.9578947368421052,Unimodal
0.04291497975708502,0.997289972899729,0.17043492943048474,Fundus,Glaucoma+Suspect vs Healthy,0.957085020242915,Unimodal
0.0437246963562753,0.997289972899729,0.17105496674776074,Fundus,Glaucoma+Suspect vs Healthy,0.9562753036437247,Unimodal
0.044534412955465584,0.997289972899729,0.17151007056236264,Fundus,Glaucoma+Suspect vs Healthy,0.9554655870445344,Unimodal
0.046153846153846156,0.997289972899729,0.17169034481048584,Fundus,Glaucoma+Suspect vs Healthy,0.9538461538461538,Unimodal
0.04696356275303644,0.997289972899729,0.1720196232199669,Fundus,Glaucoma+Suspect vs Healthy,0.9530364372469635,Unimodal
0.048582995951417005,0.997289972899729,0.17238905280828476,Fundus,Glaucoma+Suspect vs Healthy,0.951417004048583,Unimodal
0.04939271255060729,0.997289972899729,0.17296089231967926,Fundus,Glaucoma+Suspect vs Healthy,0.9506072874493927,Unimodal
0.05020242914979757,0.997289972899729,0.17350920289754865,Fundus,Glaucoma+Suspect vs Healthy,0.9497975708502024,Unimodal
0.05101214574898785,0.997289972899729,0.1738965660333633,Fundus,Glaucoma+Suspect vs Healthy,0.9489878542510122,Unimodal
0.051821862348178135,0.997289972899729,0.1742593720555305,Fundus,Glaucoma+Suspect vs Healthy,0.9481781376518219,Unimodal
0.05263157894736842,0.997289972899729,0.1744082942605018,Fundus,Glaucoma+Suspect vs Healthy,0.9473684210526316,Unimodal
0.05344129554655871,0.997289972899729,0.17447269707918164,Fundus,Glaucoma+Suspect vs Healthy,0.9465587044534413,Unimodal
0.05425101214574899,0.997289972899729,0.17453859001398087,Fundus,Glaucoma+Suspect vs Healthy,0.945748987854251,Unimodal
0.05506072874493927,0.997289972899729,0.1746442019939422,Fundus,Glaucoma+Suspect vs Healthy,0.9449392712550607,Unimodal
0.055870445344129556,0.997289972899729,0.1749517545104026,Fundus,Glaucoma+Suspect vs Healthy,0.9441295546558705,Unimodal
0.05668016194331984,0.997289972899729,0.1753213852643966,Fundus,Glaucoma+Suspect vs Healthy,0.9433198380566802,Unimodal
0.05748987854251012,0.997289972899729,0.17553615570068354,Fundus,Glaucoma+Suspect vs Healthy,0.9425101214574899,Unimodal
0.058299595141700404,0.997289972899729,0.17561321705579755,Fundus,Glaucoma+Suspect vs Healthy,0.9417004048582996,Unimodal
0.05910931174089069,0.997289972899729,0.17593646049499512,Fundus,Glaucoma+Suspect vs Healthy,0.9408906882591093,Unimodal
0.05991902834008097,0.997289972899729,0.17686359584331512,Fundus,Glaucoma+Suspect vs Healthy,0.940080971659919,Unimodal
0.06072874493927125,0.997289972899729,0.17751375585794446,Fundus,Glaucoma+Suspect vs Healthy,0.9392712550607287,Unimodal
0.06153846153846154,0.997289972899729,0.17759119719266891,Fundus,Glaucoma+Suspect vs Healthy,0.9384615384615385,Unimodal
0.062348178137651825,0.997289972899729,0.17773319780826563,Fundus,Glaucoma+Suspect vs Healthy,0.9376518218623482,Unimodal
0.06315789473684211,0.997289972899729,0.17798788845539085,Fundus,Glaucoma+Suspect vs Healthy,0.9368421052631579,Unimodal
0.06396761133603239,0.997289972899729,0.17817974090576166,Fundus,Glaucoma+Suspect vs Healthy,0.9360323886639677,Unimodal
0.06477732793522267,0.997289972899729,0.17841293662786478,Fundus,Glaucoma+Suspect vs Healthy,0.9352226720647774,Unimodal
0.06558704453441296,0.997289972899729,0.1786358430981636,Fundus,Glaucoma+Suspect vs Healthy,0.934412955465587,Unimodal
0.06639676113360324,0.997289972899729,0.17928216606378555,Fundus,Glaucoma+Suspect vs Healthy,0.9336032388663967,Unimodal
0.06720647773279352,0.997289972899729,0.1803832873702049,Fundus,Glaucoma+Suspect vs Healthy,0.9327935222672065,Unimodal
0.0680161943319838,0.997289972899729,0.1809267625212669,Fundus,Glaucoma+Suspect vs Healthy,0.9319838056680162,Unimodal
0.06882591093117409,0.997289972899729,0.18148445338010785,Fundus,Glaucoma+Suspect vs Healthy,0.9311740890688259,Unimodal
0.07044534412955465,0.997289972899729,0.1821567490696907,Fundus,Glaucoma+Suspect vs Healthy,0.9295546558704454,Unimodal
0.07125506072874493,0.997289972899729,0.18247894197702402,Fundus,Glaucoma+Suspect vs Healthy,0.928744939271255,Unimodal
0.07206477732793522,0.997289972899729,0.18294492363929743,Fundus,Glaucoma+Suspect vs Healthy,0.9279352226720647,Unimodal
0.0728744939271255,0.997289972899729,0.18328441679477692,Fundus,Glaucoma+Suspect vs Healthy,0.9271255060728745,Unimodal
0.07368421052631578,0.997289972899729,0.18354763090610499,Fundus,Glaucoma+Suspect vs Healthy,0.9263157894736842,Unimodal
0.07449392712550608,0.997289972899729,0.18397374451160425,Fundus,Glaucoma+Suspect vs Healthy,0.9255060728744939,Unimodal
0.07530364372469636,0.997289972899729,0.1841567158699035,Fundus,Glaucoma+Suspect vs Healthy,0.9246963562753037,Unimodal
0.07611336032388664,0.997289972899729,0.18422561138868326,Fundus,Glaucoma+Suspect vs Healthy,0.9238866396761134,Unimodal
0.07692307692307693,0.997289972899729,0.18435356765985483,Fundus,Glaucoma+Suspect vs Healthy,0.9230769230769231,Unimodal
0.07773279352226721,0.997289972899729,0.18457643687725067,Fundus,Glaucoma+Suspect vs Healthy,0.9222672064777327,Unimodal
0.07854251012145749,0.997289972899729,0.1847497001290321,Fundus,Glaucoma+Suspect vs Healthy,0.9214574898785425,Unimodal
0.08016194331983806,0.997289972899729,0.1847952902317047,Fundus,Glaucoma+Suspect vs Healthy,0.9198380566801619,Unimodal
0.08097165991902834,0.997289972899729,0.1848737448453903,Fundus,Glaucoma+Suspect vs Healthy,0.9190283400809717,Unimodal
0.08178137651821862,0.997289972899729,0.18502693623304364,Fundus,Glaucoma+Suspect vs Healthy,0.9182186234817814,Unimodal
0.0825910931174089,0.997289972899729,0.18519353121519083,Fundus,Glaucoma+Suspect vs Healthy,0.9174089068825911,Unimodal
0.08421052631578947,0.997289972899729,0.1853522583842277,Fundus,Glaucoma+Suspect vs Healthy,0.9157894736842105,Unimodal
0.08502024291497975,0.997289972899729,0.1855009868741035,Fundus,Glaucoma+Suspect vs Healthy,0.9149797570850202,Unimodal
0.08582995951417004,0.997289972899729,0.18557418882846827,Fundus,Glaucoma+Suspect vs Healthy,0.91417004048583,Unimodal
0.08663967611336032,0.997289972899729,0.18578059971332544,Fundus,Glaucoma+Suspect vs Healthy,0.9133603238866397,Unimodal
0.0874493927125506,0.997289972899729,0.18605938553810114,Fundus,Glaucoma+Suspect vs Healthy,0.9125506072874494,Unimodal
0.08825910931174089,0.997289972899729,0.18630065023899073,Fundus,Glaucoma+Suspect vs Healthy,0.9117408906882591,Unimodal
0.08906882591093117,0.997289972899729,0.18648937344551086,Fundus,Glaucoma+Suspect vs Healthy,0.9109311740890689,Unimodal
0.09068825910931175,0.997289972899729,0.18668279796838755,Fundus,Glaucoma+Suspect vs Healthy,0.9093117408906882,Unimodal
0.09149797570850203,0.997289972899729,0.1871941909193992,Fundus,Glaucoma+Suspect vs Healthy,0.908502024291498,Unimodal
0.09230769230769231,0.997289972899729,0.18754519522190088,Fundus,Glaucoma+Suspect vs Healthy,0.9076923076923077,Unimodal
0.0931174089068826,0.997289972899729,0.18779402971267695,Fundus,Glaucoma+Suspect vs Healthy,0.9068825910931174,Unimodal
0.09392712550607288,0.997289972899729,0.1880588755011558,Fundus,Glaucoma+Suspect vs Healthy,0.9060728744939271,Unimodal
0.09554655870445344,0.997289972899729,0.18817750364542005,Fundus,Glaucoma+Suspect vs Healthy,0.9044534412955465,Unimodal
0.09716599190283401,0.997289972899729,0.18833062052726746,Fundus,Glaucoma+Suspect vs Healthy,0.902834008097166,Unimodal
0.09797570850202429,0.997289972899729,0.18866683542728419,Fundus,Glaucoma+Suspect vs Healthy,0.9020242914979757,Unimodal
0.09878542510121457,0.997289972899729,0.18913947790861124,Fundus,Glaucoma+Suspect vs Healthy,0.9012145748987854,Unimodal
0.09959514170040486,0.997289972899729,0.18948636204004285,Fundus,Glaucoma+Suspect vs Healthy,0.9004048582995952,Unimodal
0.10040485829959514,0.997289972899729,0.18988595157861704,Fundus,Glaucoma+Suspect vs Healthy,0.8995951417004049,Unimodal
0.10121457489878542,0.997289972899729,0.1904261931777,Fundus,Glaucoma+Suspect vs Healthy,0.8987854251012146,Unimodal
0.1020242914979757,0.997289972899729,0.19077360630035395,Fundus,Glaucoma+Suspect vs Healthy,0.8979757085020244,Unimodal
0.10283400809716599,0.997289972899729,0.19091460853815073,Fundus,Glaucoma+Suspect vs Healthy,0.897165991902834,Unimodal
0.10364372469635627,0.997289972899729,0.19107520580291745,Fundus,Glaucoma+Suspect vs Healthy,0.8963562753036437,Unimodal
0.10364372469635627,0.991869918699187,0.1914781108498573,Fundus,Glaucoma+Suspect vs Healthy,0.8963562753036437,Unimodal
0.10445344129554655,0.991869918699187,0.19184523075819016,Fundus,Glaucoma+Suspect vs Healthy,0.8955465587044534,Unimodal
0.10526315789473684,0.991869918699187,0.19195657968521115,Fundus,Glaucoma+Suspect vs Healthy,0.8947368421052632,Unimodal
0.10607287449392712,0.991869918699187,0.1921434625983238,Fundus,Glaucoma+Suspect vs Healthy,0.8939271255060729,Unimodal
0.10688259109311742,0.991869918699187,0.1924711689352989,Fundus,Glaucoma+Suspect vs Healthy,0.8931174089068826,Unimodal
0.1076923076923077,0.991869918699187,0.19271928071975705,Fundus,Glaucoma+Suspect vs Healthy,0.8923076923076922,Unimodal
