Domain,Model,Model_Type,Outcome,Threshold,Specificity,Sensitivity,FPR
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1857708096504211,0.06205250596658711,1,0.9379474940334129
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.18624810874462125,0.06324582338902147,1,0.9367541766109785
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.18668279796838755,0.06563245823389022,1,0.9343675417661098
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.18746244907379145,0.06682577565632458,1,0.9331742243436754
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.18817750364542005,0.06921241050119331,1,0.9307875894988067
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1888032630085945,0.07159904534606205,1,0.9284009546539379
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1901676058769226,0.07279236276849642,1,0.9272076372315036
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19107520580291745,0.07398568019093078,1,0.9260143198090692
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19151213765144345,0.07398568019093078,0.9852941176470589,0.9260143198090692
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19206614047288895,0.07517899761336516,0.9852941176470589,0.9248210023866348
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1924711689352989,0.07637231503579953,0.9852941176470589,0.9236276849642004
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19271928071975705,0.07756563245823389,0.9852941176470589,0.9224343675417661
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19284234941005707,0.07875894988066826,0.9852941176470589,0.9212410501193318
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19299152493476865,0.07995226730310262,0.9852941176470589,0.9200477326968974
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19306384772062302,0.081145584725537,0.9852941176470589,0.918854415274463
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1931161358952522,0.08353221957040573,0.9852941176470589,0.9164677804295943
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19328952580690378,0.08472553699284009,0.9852941176470589,0.9152744630071599
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1935792118310928,0.08591885441527446,0.9852941176470589,0.9140811455847255
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19450743496417994,0.08711217183770883,0.9852941176470589,0.9128878281622912
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1955603584647178,0.0883054892601432,0.9852941176470589,0.9116945107398569
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1959471628069877,0.08949880668257756,0.9852941176470589,0.9105011933174224
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19625340402126312,0.09069212410501193,0.9852941176470589,0.9093078758949881
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19660178571939466,0.09307875894988067,0.9852941176470589,0.9069212410501193
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1970010474324226,0.0954653937947494,0.9852941176470589,0.9045346062052506
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19728315621614456,0.09665871121718377,0.9852941176470589,0.9033412887828163
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19761998206377024,0.09904534606205251,0.9852941176470589,0.9009546539379475
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.198012925684452,0.10023866348448687,0.9852941176470589,0.8997613365155132
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1981073915958404,0.10143198090692124,0.9852941176470589,0.8985680190930787
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19832789897918696,0.1026252983293556,0.9852941176470589,0.8973747016706444
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19860370457172388,0.10501193317422435,0.9852941176470589,0.8949880668257757
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.19893354177474976,0.10620525059665871,0.9852941176470589,0.8937947494033412
