"Outcome","Model","Threshold_Type","Threshold","TP","TN","FP","FN","Sensitivity","Specificity","PPV","NPV","Accuracy"
"Glaucoma+Suspect vs Healthy","Fundus","Youden",0.299709126353264,272,805,430,97,0.737127371273713,0.651821862348178,0.387464387464387,0.892461197339246,0.6714463840399
"Glaucoma+Suspect vs Healthy","Fundus","90% Specificity",0.370119750499725,143,1112,123,226,0.387533875338753,0.900404858299595,0.537593984962406,0.831091180866966,0.782418952618454
"Glaucoma+Suspect vs Healthy","Fundus","95% Specificity",0.396022647619247,106,1174,61,263,0.287262872628726,0.950607287449393,0.634730538922156,0.816979819067502,0.798004987531172
"Glaucoma+Suspect vs Healthy","Fundus","99% Specificity",0.474394485354424,44,1223,12,325,0.119241192411924,0.990283400809717,0.785714285714286,0.790051679586563,0.789900249376559
"Glaucoma vs Suspect+Healthy","Fundus","Youden",0.357026308774948,27,786,139,22,0.551020408163265,0.84972972972973,0.162650602409639,0.972772277227723,0.834702258726899
"Glaucoma vs Suspect+Healthy","Fundus","90% Specificity",0.377436742186546,19,833,92,30,0.387755102040816,0.90054054054054,0.171171171171171,0.965237543453071,0.874743326488706
"Glaucoma vs Suspect+Healthy","Fundus","95% Specificity",0.414040595293045,13,879,46,36,0.26530612244898,0.95027027027027,0.220338983050847,0.960655737704918,0.915811088295688
"Glaucoma vs Suspect+Healthy","Fundus","99% Specificity",0.490036904811859,9,916,9,40,0.183673469387755,0.99027027027027,0.5,0.9581589958159,0.949691991786448
